"","Day","DJA","max.temp"
"21","May-01-03",8454.25,72
"20","May-02-03",8582.68,75
"19","May-05-03",8531.57,59
"18","May-06-03",8588.36,61
"17","May-07-03",8560.63,79
"16","May-08-03",8491.22,60
"15","May-09-03",8604.6,66
"14","May-12-03",8726.73,65
"13","May-13-03",8679.25,61
"12","May-14-03",8647.82,66
"11","May-15-03",8713.14,69
"10","May-16-03",8678.97,61
"9","May-19-03",8493.39,76
"8","May-20-03",8491.36,79
"7","May-21-03",8516.43,64
"6","May-22-03",8594.02,56
"5","May-23-03",8601.38,56
"4","May-27-03",8781.35,69
"3","May-28-03",8793.12,69
"2","May-29-03",8711.18,75
"1","May-30-03",8850.26,79
